#linked controls - field - Control Voltage Kepco - Plot 0	TFPDAS4-Project - COUNTS ACC - Plot 0	linked controls - field - Control Voltage Kepco - Plot 1	TFPDAS4-Project - COUNTS ACC - Plot 1	linked controls - field - Control Voltage Kepco - Plot 2	TFPDAS4-Project - COUNTS ACC - Plot 2	
		2.2	460	2.2	503	
		2.3	420	2.3	490	
		2.4	423	2.4	560	
		2.5	445	2.5	637	
		2.6	388	2.6	623	
		2.7	397	2.7	641	
		2.8	472	2.8	683	
		2.9	347	2.9	594	
		3	397	3	628	
		3.1	402	3.1	608	
		3.2	438	3.2	619	
		3.3	460	3.3	640	
		3.4	478	3.4	412	
		3.5	408	3.5	286	
		3.6	480	3.6	305	
		3.7	445	3.7	271	
		3.8	386	3.8	296	
		3.9	452	3.9	284	
		4	487	4	356	
		4.1	457	4.1	349	
		4.2	499	4.2	307	
		4.3	467	4.3	333	
		4.4	504	4.4	347	
		4.5	428	4.5	383	
		4.6	486	4.6	340	
		4.7	523	4.7	331	
		4.8	493	4.8	341	
		4.9	473	4.9	367	
		5	465	5	305	
		5.1	508	5.1	297	
		5.2	754	5.2	318	
		5.3	849	5.3	292	
		5.4	835	5.4	264	
		5.5	838	5.5	259	
		5.6	849	5.6	278	
		5.7	770	5.7	317	
		5.8	857	5.8	306	
		5.9	795	5.9	272	
		6	788	6	289	
		6.1	852	6.1	274	
		6.2	1080	6.2	261	
		6.3	993	6.3	258	
		6.4	974	6.4	256	
		6.5	990	6.5	245	
		6.6	924	6.6	233	
		6.7	869	6.7	243	
		6.8	920	6.8	244	
		6.9	929	6.9	225	
		7	1081	7	241	
		7.1	987	7.1	236	
		7.2	842	7.2	267	
		7.3	768	7.3	241	
		7.4	802	7.4	219	
		7.5	792	7.5	234	
		7.6	902	7.6	227	
		7.7	890	7.7	204	
		7.8	983	7.8	239	
		7.9	986	7.9	223	
		8	1013	8	232	
		8.1	973	8.1	196	
		8.2	821	8.2	217	
		8.3	1007	8.3	238	
		8.4	993	8.4	257	
		8.5	835	8.5	208	
		8.6	895	8.6	202	
		8.7	915	8.7	213	
		8.8	978	8.8	213	
		8.9	983	8.9	262	
		9	963	9	229	
		9.1	1089	9.1	311	
		9.2	1034	9.2	266	
