{13, 4.467873882084985}
{40/3, 4.54580928726547}
{41/3, 4.623827069991727}
{14, 4.701913997425347}
{43/3, 4.780057399387584}
{44/3, 4.858245176321335}
{15, 4.936465800139995}
{46/3, 5.014708309533151}
{47/3, 5.092962300998539}
{16, 5.17121791662862}
{49/3, 5.249465829482062}
{50/3, 5.327697227209274}
{17, 5.405903794471149}
{52/3, 5.4840776945816305}
{53/3, 5.562211550718483}
{18, 5.640298426974985}
{55/3, 5.718331809466953}
{56/3, 5.796305587662145}
{19, 5.8742140360606445}
{58/3, 5.952051796323256}
{59/3, 6.0298138599195354}
{20, 6.1074955513463305}
{61/3, 6.18509251195139}
{62/3, 6.26260068438297}
{21, 6.340016297675937}
{64/3, 6.417335852976416}
{65/3, 6.494556109900094}
{22, 6.571674073514858}
{67/3, 6.648686981933429}
{68/3, 6.725592294500165}
{23, 6.802387680552372}
{70/3, 6.879071008736472}
{71/3, 6.955640336857456}
{24, 7.032093902239959}
{73/3, 7.108430112578657}
{74/3, 7.184647537256318}
{25, 7.26074489910757}
{76/3, 7.33672106660699}
{77/3, 7.412575046461031}
{26, 7.488305976583151}
{79/3, 7.563913119433149}
{80/3, 7.639395855701468}
{27, 7.71475367832101}
{82/3, 7.789986186788785}
{83/3, 7.865093081781168}
{28, 7.940074160047018}
{85/3, 8.014929309563996}
{86/3, 8.089658504943399}
{29, 8.16426180307068}
{88/3, 8.238739338968339}
{89/3, 8.313091321869615}
{30, 8.38731803149108}
{91/3, 8.461419814493736}
{92/3, 8.53539708112206}
{31, 8.609250302011514}
{94/3, 8.682980005155507}
{95/3, 8.756586773022734}
{32, 8.83007123981739}
{97/3, 8.903434088874057}
{98/3, 8.976676050180235}
{33, 9.049797898019825}
{100/3, 9.12280044873069}
{101/3, 9.195684558570685}
{34, 9.268451121686116}
{103/3, 9.34110106817726}
{104/3, 9.413635362255908}
{35, 9.486055000490051}
{106/3, 9.558361010131181}
{107/3, 9.630554447519888}
{36, 9.702636396565733}
{109/3, 9.774607967297486}
{110/3, 9.846470294480309}
{37, 9.918224536296227}
{112/3, 9.989871873084791}
{113/3, 10.061413506140992}
{38, 10.132850656567285}
{115/3, 10.204184564177359}
{116/3, 10.275416486448629}
{39, 10.346547697521565}
{118/3, 10.417579487243048}
{119/3, 10.488513160252012}
{40, 10.559350035105021}
{121/3, 10.630091443439897}
{122/3, 10.700738729175743}
{41, 10.771293247747408}
{124/3, 10.84175636537285}
{125/3, 10.912129458351801}
{42, 10.982413912394243}
{127/3, 11.052611121977444}
{128/3, 11.12272248972995}
{43, 11.192749425841567}
{130/3, 11.262693347497917}
{131/3, 11.332555678338586}
{44, 11.402337847937748}
{133/3, 11.472041291306128}
{134/3, 11.541667448413621}
{45, 11.611217763731334}
{136/3, 11.680693685792368}
{137/3, 11.750096666770503}
{46, 11.819428162075951}
{139/3, 11.888689629967365}
{140/3, 11.957882531179681}
{47, 12.027008328566696}
{142/3, 12.096068486758085}
{143/3, 12.165064471830108}
{48, 12.233997750989452}
{145/3, 12.302869792269636}
{146/3, 12.371682064239469}
{49, 12.440436035723057}
{148/3, 12.509133175530934}
{149/3, 12.57777495220175}
{50, 12.646362833754207}
{151/3, 12.714898287448793}
{152/3, 12.783382779558814}
{51, 12.851817775150586}
{154/3, 12.92020473787216}
{155/3, 12.988545129750452}
{52, 13.056840410996376}
{157/3, 13.125092039817611}
{158/3, 13.19330147223883}
{53, 13.261470161929008}
{160/3, 13.329599560035613}
{161/3, 13.397691115025363}
{54, 13.465746272531348}
{163/3, 13.533766475206239}
{164/3, 13.601753162581476}
{55, 13.669707770932021}
{166/3, 13.737631733146689}
{167/3, 13.805526478603687}
{56, 13.873393433051309}
{169/3, 13.941234018493509}
{170/3, 14.009049653080261}
{57, 14.076841751002437}
{172/3, 14.144611722391256}
{173/3, 14.212360973221834}
{58, 14.280090905220987}
{175/3, 14.347802915779091}
{176/3, 14.415498397865612}
{59, 14.48317873994866}
{178/3, 14.550845325917905}
{179/3, 14.618499535011205}
{60, 14.686142741744519}
{181/3, 14.753776315845213}
{182/3, 14.821401622188453}
{61, 14.889020020736837}
{184/3, 14.956632866482867}
{185/3, 15.024241509394505}
{62, 15.091847294363484}
{187/3, 15.159451561156342}
{188/3, 15.227055644368171}
{63, 15.294660873378994}
{190/3, 15.362268572312562}
{191/3, 15.429880059997744}
{64, 15.49749664993216}
{193/3, 15.565119650248212}
{194/3, 15.632750363681424}
{65, 15.700390087540828}
{196/3, 15.768040113681646}
{197/3, 15.835701728479963}
{66, 15.903376212809478}
{199/3, 15.971064842020143}
{200/3, 16.038768885918874}
{67, 16.106489608752003}
{202/3, 16.17422826918965}
{203/3, 16.24198612031179}
{68, 16.309764409596145}
{205/3, 16.377564378907735}
{206/3, 16.445387264490044}
{69, 16.51323429695786}
{208/3, 16.58110670129164}
{209/3, 16.649005696833402}
{70, 16.71693249728414}
{211/3, 16.784888310702694}
{212/3, 16.852874339505995}
{71, 16.92089178047068}
{214/3, 16.98894182473614}
{215/3, 17.057025657808822}
{72, 17.125144459567714}
{217/3, 17.19329940427124}
{218/3, 17.26149166056526}
{73, 17.329722391492204}
{220/3, 17.397992754501463}
{221/3, 17.46630390146076}
{74, 17.534656978668618}
{223/3, 17.603053126867984}
{224/3, 17.67149348126067}
{75, 17.739979171522847}
{226/3, 17.808511321821577}
{227/3, 17.87709105083202}
{76, 17.94571947175572}
{229/3, 18.014397692339625}
{230/3, 18.083126814895923}
{77, 18.151907936322598}
{232/3, 18.220742148124888}
{233/3, 18.28963053643719}
{78, 18.358574182045807}
{235/3, 18.42757416041228}
{236/3, 18.496631541697262}
{79, 18.56574739078504}
{238/3, 18.63492276730848}
{239/3, 18.70415872567445}
{80, 18.773456315089845}
{241/3, 18.842816579587797}
